# Lightning emoji catalogue; Unicode Emoji 17.0; emojis crate 0.8.2
# emoji\tname\taliases\tcategory\tbaseEmoji\ttone
🩶	grey heart	grey_heart	Smileys & Emotion	🩶	none
🤍	white heart	white_heart	Smileys & Emotion	🤍	none
💋	kiss mark	kiss	Smileys & Emotion	💋	none
💯	hundred points	100	Smileys & Emotion	💯	none
💢	anger symbol	anger	Smileys & Emotion	💢	none
🫯	fight cloud		Smileys & Emotion	🫯	none
💥	collision	boom collision	Smileys & Emotion	💥	none
💫	dizzy	dizzy	Smileys & Emotion	💫	none
💦	sweat droplets	sweat_drops	Smileys & Emotion	💦	none
💨	dashing away	dash	Smileys & Emotion	💨	none
🕳️	hole	hole	Smileys & Emotion	🕳️	none
💬	speech balloon	speech_balloon	Smileys & Emotion	💬	none
👁️‍🗨️	eye in speech bubble	eye_speech_bubble	Smileys & Emotion	👁️‍🗨️	none
🗨️	left speech bubble	left_speech_bubble	Smileys & Emotion	🗨️	none
🗯️	right anger bubble	right_anger_bubble	Smileys & Emotion	🗯️	none
💭	thought balloon	thought_balloon	Smileys & Emotion	💭	none
💤	ZZZ	zzz	Smileys & Emotion	💤	none
👋	waving hand	wave	People & Body	👋	default
👋🏻	waving hand: light skin tone		People & Body	👋	light
👋🏼	waving hand: medium-light skin tone		People & Body	👋	medium-light
👋🏽	waving hand: medium skin tone		People & Body	👋	medium
👋🏾	waving hand: medium-dark skin tone		People & Body	👋	medium-dark
👋🏿	waving hand: dark skin tone		People & Body	👋	dark
🤚	raised back of hand	raised_back_of_hand	People & Body	🤚	default
🤚🏻	raised back of hand: light skin tone		People & Body	🤚	light
🤚🏼	raised back of hand: medium-light skin tone		People & Body	🤚	medium-light
🤚🏽	raised back of hand: medium skin tone		People & Body	🤚	medium
🤚🏾	raised back of hand: medium-dark skin tone		People & Body	🤚	medium-dark
🤚🏿	raised back of hand: dark skin tone		People & Body	🤚	dark
🖐️	hand with fingers splayed	raised_hand_with_fingers_splayed	People & Body	🖐️	default
🖐🏻	hand with fingers splayed: light skin tone		People & Body	🖐️	light
🖐🏼	hand with fingers splayed: medium-light skin tone		People & Body	🖐️	medium-light
🖐🏽	hand with fingers splayed: medium skin tone		People & Body	🖐️	medium
🖐🏾	hand with fingers splayed: medium-dark skin tone		People & Body	🖐️	medium-dark
🖐🏿	hand with fingers splayed: dark skin tone		People & Body	🖐️	dark
✋	raised hand	hand raised_hand	People & Body	✋	default
✋🏻	raised hand: light skin tone		People & Body	✋	light
✋🏼	raised hand: medium-light skin tone		People & Body	✋	medium-light
✋🏽	raised hand: medium skin tone		People & Body	✋	medium
✋🏾	raised hand: medium-dark skin tone		People & Body	✋	medium-dark
✋🏿	raised hand: dark skin tone		People & Body	✋	dark
🖖	vulcan salute	vulcan_salute	People & Body	🖖	default
🖖🏻	vulcan salute: light skin tone		People & Body	🖖	light
🖖🏼	vulcan salute: medium-light skin tone		People & Body	🖖	medium-light
🖖🏽	vulcan salute: medium skin tone		People & Body	🖖	medium
🖖🏾	vulcan salute: medium-dark skin tone		People & Body	🖖	medium-dark
🖖🏿	vulcan salute: dark skin tone		People & Body	🖖	dark
🫱	rightwards hand	rightwards_hand	People & Body	🫱	default
🫱🏻	rightwards hand: light skin tone		People & Body	🫱	light
🫱🏼	rightwards hand: medium-light skin tone		People & Body	🫱	medium-light
🫱🏽	rightwards hand: medium skin tone		People & Body	🫱	medium
🫱🏾	rightwards hand: medium-dark skin tone		People & Body	🫱	medium-dark
🫱🏿	rightwards hand: dark skin tone		People & Body	🫱	dark
🫲	leftwards hand	leftwards_hand	People & Body	🫲	default
🫲🏻	leftwards hand: light skin tone		People & Body	🫲	light
🫲🏼	leftwards hand: medium-light skin tone		People & Body	🫲	medium-light
🫲🏽	leftwards hand: medium skin tone		People & Body	🫲	medium
🫲🏾	leftwards hand: medium-dark skin tone		People & Body	🫲	medium-dark
🫲🏿	leftwards hand: dark skin tone		People & Body	🫲	dark
🫳	palm down hand	palm_down_hand	People & Body	🫳	default
🫳🏻	palm down hand: light skin tone		People & Body	🫳	light
🫳🏼	palm down hand: medium-light skin tone		People & Body	🫳	medium-light
🫳🏽	palm down hand: medium skin tone		People & Body	🫳	medium
🫳🏾	palm down hand: medium-dark skin tone		People & Body	🫳	medium-dark
🫳🏿	palm down hand: dark skin tone		People & Body	🫳	dark
🫴	palm up hand	palm_up_hand	People & Body	🫴	default
🫴🏻	palm up hand: light skin tone		People & Body	🫴	light
🫴🏼	palm up hand: medium-light skin tone		People & Body	🫴	medium-light
🫴🏽	palm up hand: medium skin tone		People & Body	🫴	medium
🫴🏾	palm up hand: medium-dark skin tone		People & Body	🫴	medium-dark
🫴🏿	palm up hand: dark skin tone		People & Body	🫴	dark
🫷	leftwards pushing hand	leftwards_pushing_hand	People & Body	🫷	default
🫷🏻	leftwards pushing hand: light skin tone		People & Body	🫷	light
🫷🏼	leftwards pushing hand: medium-light skin tone		People & Body	🫷	medium-light
🫷🏽	leftwards pushing hand: medium skin tone		People & Body	🫷	medium
🫷🏾	leftwards pushing hand: medium-dark skin tone		People & Body	🫷	medium-dark
🫷🏿	leftwards pushing hand: dark skin tone		People & Body	🫷	dark
🫸	rightwards pushing hand	rightwards_pushing_hand	People & Body	🫸	default
🫸🏻	rightwards pushing hand: light skin tone		People & Body	🫸	light
🫸🏼	rightwards pushing hand: medium-light skin tone		People & Body	🫸	medium-light
🫸🏽	rightwards pushing hand: medium skin tone		People & Body	🫸	medium
🫸🏾	rightwards pushing hand: medium-dark skin tone		People & Body	🫸	medium-dark
🫸🏿	rightwards pushing hand: dark skin tone		People & Body	🫸	dark
👌	OK hand	ok_hand	People & Body	👌	default
👌🏻	OK hand: light skin tone		People & Body	👌	light
👌🏼	OK hand: medium-light skin tone		People & Body	👌	medium-light
👌🏽	OK hand: medium skin tone		People & Body	👌	medium
👌🏾	OK hand: medium-dark skin tone		People & Body	👌	medium-dark
👌🏿	OK hand: dark skin tone		People & Body	👌	dark
🤌	pinched fingers	pinched_fingers	People & Body	🤌	default
🤌🏻	pinched fingers: light skin tone		People & Body	🤌	light
🤌🏼	pinched fingers: medium-light skin tone		People & Body	🤌	medium-light
🤌🏽	pinched fingers: medium skin tone		People & Body	🤌	medium
🤌🏾	pinched fingers: medium-dark skin tone		People & Body	🤌	medium-dark
🤌🏿	pinched fingers: dark skin tone		People & Body	🤌	dark
🤏	pinching hand	pinching_hand	People & Body	🤏	default
🤏🏻	pinching hand: light skin tone		People & Body	🤏	light
🤏🏼	pinching hand: medium-light skin tone		People & Body	🤏	medium-light
🤏🏽	pinching hand: medium skin tone		People & Body	🤏	medium
🤏🏾	pinching hand: medium-dark skin tone		People & Body	🤏	medium-dark
🤏🏿	pinching hand: dark skin tone		People & Body	🤏	dark
✌️	victory hand	v	People & Body	✌️	default
✌🏻	victory hand: light skin tone		People & Body	✌️	light
✌🏼	victory hand: medium-light skin tone		People & Body	✌️	medium-light
✌🏽	victory hand: medium skin tone		People & Body	✌️	medium
✌🏾	victory hand: medium-dark skin tone		People & Body	✌️	medium-dark
✌🏿	victory hand: dark skin tone		People & Body	✌️	dark
🤞	crossed fingers	crossed_fingers	People & Body	🤞	default
🤞🏻	crossed fingers: light skin tone		People & Body	🤞	light
🤞🏼	crossed fingers: medium-light skin tone		People & Body	🤞	medium-light
🤞🏽	crossed fingers: medium skin tone		People & Body	🤞	medium
🤞🏾	crossed fingers: medium-dark skin tone		People & Body	🤞	medium-dark
🤞🏿	crossed fingers: dark skin tone		People & Body	🤞	dark
🫰	hand with index finger and thumb crossed	hand_with_index_finger_and_thumb_crossed	People & Body	🫰	default
🫰🏻	hand with index finger and thumb crossed: light skin tone		People & Body	🫰	light
🫰🏼	hand with index finger and thumb crossed: medium-light skin tone		People & Body	🫰	medium-light
🫰🏽	hand with index finger and thumb crossed: medium skin tone		People & Body	🫰	medium
🫰🏾	hand with index finger and thumb crossed: medium-dark skin tone		People & Body	🫰	medium-dark
🫰🏿	hand with index finger and thumb crossed: dark skin tone		People & Body	🫰	dark
🤟	love-you gesture	love_you_gesture	People & Body	🤟	default
🤟🏻	love-you gesture: light skin tone		People & Body	🤟	light
🤟🏼	love-you gesture: medium-light skin tone		People & Body	🤟	medium-light
🤟🏽	love-you gesture: medium skin tone		People & Body	🤟	medium
🤟🏾	love-you gesture: medium-dark skin tone		People & Body	🤟	medium-dark
🤟🏿	love-you gesture: dark skin tone		People & Body	🤟	dark
🤘	sign of the horns	metal	People & Body	🤘	default
🤘🏻	sign of the horns: light skin tone		People & Body	🤘	light
🤘🏼	sign of the horns: medium-light skin tone		People & Body	🤘	medium-light
🤘🏽	sign of the horns: medium skin tone		People & Body	🤘	medium
🤘🏾	sign of the horns: medium-dark skin tone		People & Body	🤘	medium-dark
🤘🏿	sign of the horns: dark skin tone		People & Body	🤘	dark
🤙	call me hand	call_me_hand	People & Body	🤙	default
🤙🏻	call me hand: light skin tone		People & Body	🤙	light
🤙🏼	call me hand: medium-light skin tone		People & Body	🤙	medium-light
🤙🏽	call me hand: medium skin tone		People & Body	🤙	medium
🤙🏾	call me hand: medium-dark skin tone		People & Body	🤙	medium-dark
🤙🏿	call me hand: dark skin tone		People & Body	🤙	dark
👈	backhand index pointing left	point_left	People & Body	👈	default
👈🏻	backhand index pointing left: light skin tone		People & Body	👈	light
